planner_type,candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,params,best_objective_so_far,best_success_rate_so_far
simulated_annealing,0,-838.827236000076,1.0,643.0,8.05,0.0,17.764552799984813,"{'horizon': 9, 'iterations': 204, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}",-838.827236000076,1.0
simulated_annealing,1,-839.7833239001689,1.0,643.0,8.05,0.0,17.573335219966246,"{'horizon': 13, 'iterations': 199, 'initial_temp': 16.869735226095948, 'cooling': 0.9861758103950837}",-839.7833239001689,1.0
simulated_annealing,2,-839.4180780999363,1.0,643.0,8.05,0.0,17.64638438001275,"{'horizon': 13, 'iterations': 199, 'initial_temp': 16.869735226095948, 'cooling': 0.9861758103950837}",-839.7833239001689,1.0
simulated_annealing,3,-839.722023899993,1.0,643.0,8.05,0.0,17.585595220001416,"{'horizon': 13, 'iterations': 199, 'initial_temp': 16.869735226095948, 'cooling': 0.9861758103950837}",-839.7833239001689,1.0
simulated_annealing,4,-839.4585570001277,1.0,643.0,8.05,0.0,17.638288599974477,"{'horizon': 13, 'iterations': 199, 'initial_temp': 16.869735226095948, 'cooling': 0.9861758103950837}",-839.7833239001689,1.0
cross_entropy,0,-839.6467671999476,1.0,643.0,8.05,0.0,17.6006465600105,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}",-839.6467671999476,1.0
cross_entropy,1,-839.7111623998267,1.0,643.0,8.05,0.0,17.587767520034685,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}",-839.7111623998267,1.0
cross_entropy,2,-839.9235871998594,1.0,643.0,8.05,0.0,17.545282560028134,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}",-839.9235871998594,1.0
cross_entropy,3,-839.7619488999248,1.0,643.0,8.05,0.0,17.57761022001505,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}",-839.9235871998594,1.0
cross_entropy,4,-839.5522641001503,1.0,643.0,8.05,0.0,17.61954717996996,"{'horizon': 10, 'num_samples': 147, 'num_elites': 17, 'iterations': 7, 'smoothing': 0.8836106159789308}",-839.9235871998594,1.0
pomdp,0,-839.9104985999643,1.0,643.0,8.05,0.0,17.547900280007163,"{'horizon': 5, 'num_simulations': 139}",-839.9104985999643,1.0
pomdp,1,-788.6992843999528,1.0,643.0,8.05,0.0,27.790143120009454,"{'horizon': 5, 'num_simulations': 139}",-839.9104985999643,1.0
pomdp,2,-777.1075390999672,1.0,643.0,8.05,0.0,30.10849218000658,"{'horizon': 5, 'num_simulations': 139}",-839.9104985999643,1.0
pomdp,3,-794.1986043000129,1.0,643.0,8.05,0.0,26.690279139997436,"{'horizon': 5, 'num_simulations': 139}",-839.9104985999643,1.0
pomdp,4,-839.8467175001047,1.0,643.0,8.05,0.0,17.560656499979086,"{'horizon': 5, 'num_simulations': 139}",-839.9104985999643,1.0
genetic,0,-839.7418551998912,1.0,643.0,8.05,0.0,17.58162896002177,"{'horizon': 10, 'population_size': 149, 'generations': 11, 'elite_fraction': 0.30018559778602766, 'mutation_rate': 0.25025051211709937, 'crossover_rate': 0.5296536973482259}",-839.7418551998912,1.0
genetic,1,-839.8176243999974,1.0,643.0,8.05,0.0,17.56647512000054,"{'horizon': 10, 'population_size': 149, 'generations': 11, 'elite_fraction': 0.30018559778602766, 'mutation_rate': 0.25025051211709937, 'crossover_rate': 0.5296536973482259}",-839.8176243999974,1.0
genetic,2,-839.9244691999397,1.0,643.0,8.05,0.0,17.545106160012075,"{'horizon': 10, 'population_size': 149, 'generations': 11, 'elite_fraction': 0.30018559778602766, 'mutation_rate': 0.25025051211709937, 'crossover_rate': 0.5296536973482259}",-839.9244691999397,1.0
genetic,3,-839.8479442002485,1.0,643.0,8.05,0.0,17.56041115995031,"{'horizon': 10, 'population_size': 149, 'generations': 11, 'elite_fraction': 0.30018559778602766, 'mutation_rate': 0.25025051211709937, 'crossover_rate': 0.5296536973482259}",-839.9244691999397,1.0
genetic,4,-839.4478167000693,1.0,643.0,8.05,0.0,17.640436659986154,"{'horizon': 10, 'population_size': 149, 'generations': 11, 'elite_fraction': 0.30018559778602766, 'mutation_rate': 0.25025051211709937, 'crossover_rate': 0.5296536973482259}",-839.9244691999397,1.0
