planner_type,candidate_id,seed,runtime_sec,failure_mode,total_cost,total_time,small_science_value,params
simulated_annealing,0,0,1.1357325999997556,0,307.0,3.85,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,1,2.3849318999564275,0,299.0,3.75,3,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,2,24.270807000109926,0,1646.0,20.6,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,3,1.5484864000463858,0,303.0,3.8000000000000003,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,4,5.203048099996522,0,471.0,5.9,10,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,5,0.14674479991663247,0,255.0,3.2,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,6,19.21135860006325,1,5000.0,62.5,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,7,1.7058075000531971,0,344.0,4.3500000000000005,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,8,5.484155399957672,0,379.0,4.75,3,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,9,5.736198299913667,0,765.0,9.600000000000001,2,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,10,4.043546800035983,0,315.0,3.95,1,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,11,4.768096100073308,0,359.0,4.5,11,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,12,86.11425470001996,-1,1000000000.0,1000000000.0,0.0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,13,12.413289699936286,0,1097.0,14.100000000000001,13,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,0,14,3.0910662999376655,0,586.0,7.7,0,"{'horizon': 9, 'iterations': 76, 'initial_temp': 28.57071488588757, 'cooling': 0.9524791518535967}"
simulated_annealing,1,0,0.6030923000071198,0,279.0,3.5,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,1,3.9384295999770984,0,871.0,10.9,3,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,2,1.8186844000592828,0,363.0,4.55,4,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,3,1.0710855999495834,0,315.0,3.95,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,4,5.868075200007297,0,1400.0,17.6,16,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,5,0.1538682000245899,0,255.0,3.2,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,6,1.396917499951087,0,291.0,3.6500000000000004,3,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,7,0.7744209000375122,0,295.0,3.7,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,8,3.4031202999176458,0,403.0,5.050000000000001,13,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,9,1.2292142000515014,0,303.0,3.8000000000000003,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,10,2.4818189999787137,0,371.0,4.65,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,11,2.5725270999828354,0,295.0,3.7,11,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,12,2.7233344999840483,0,559.0,7.0,6,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,13,57.59330750000663,1,5002.0,70.05,5,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,1,14,2.128460600040853,0,491.0,6.15,0,"{'horizon': 15, 'iterations': 45, 'initial_temp': 5.524540572830659, 'cooling': 0.8718392328470683}"
simulated_annealing,2,0,1.0075072000036016,0,299.0,3.75,0,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,1,3.158272900036536,0,263.0,3.3000000000000003,3,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,2,15.119537799968384,0,703.0,8.8,8,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,3,1.1206212999532,0,299.0,3.75,0,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,4,7.486115999985486,0,383.0,4.800000000000001,9,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,5,0.14791579998563975,0,255.0,3.2,0,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,6,23.338252800051123,1,5000.0,62.5,0,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,7,0.6685137000167742,0,263.0,3.3000000000000003,4,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,8,4.502860200009309,0,351.0,4.4,3,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,9,1.5807148000458255,0,267.0,3.35,0,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,10,11.929490600014105,0,407.0,5.1000000000000005,1,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,11,5.025203499943018,0,331.0,4.15,8,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,12,2.2757203999208286,0,343.0,4.3,9,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,13,9.228198500000872,0,655.0,8.200000000000001,8,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
simulated_annealing,2,14,5.865254099946469,0,427.0,5.3500000000000005,1,"{'horizon': 13, 'iterations': 99, 'initial_temp': 26.11910822747312, 'cooling': 0.9341561016440492}"
